"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RELIANCE","EQ","26-Dec-2025","1,558.20","1,554.70","1,561.00","1,554.30","1,560.00","1,559.20","1,558.05","23,11,495","3,60,14,35,338.70","81,976","12,82,416","55.48"
"RELIANCE","EQ","29-Dec-2025","1,559.20","1,554.90","1,558.10","1,543.60","1,546.70","1,545.60","1,547.80","59,72,105","9,24,36,16,142.30","1,58,162","29,87,586","50.03"
"RELIANCE","EQ","30-Dec-2025","1,545.60","1,547.00","1,553.60","1,537.80","1,541.00","1,539.80","1,543.21","88,15,884","13,60,47,45,435.00","1,99,428","49,65,382","56.32"
"RELIANCE","EQ","31-Dec-2025","1,539.80","1,541.00","1,577.00","1,541.00","1,569.00","1,570.40","1,566.86","57,71,830","9,04,36,50,348.50","1,41,792","29,78,159","51.60"
"RELIANCE","EQ","01-Jan-2026","1,570.40","1,573.70","1,592.50","1,571.10","1,572.90","1,575.60","1,578.67","64,08,128","10,11,63,46,867.10","1,34,062","21,00,118","32.77"
"RELIANCE","EQ","02-Jan-2026","1,575.60","1,580.00","1,594.60","1,578.20","1,593.00","1,592.30","1,589.16","66,02,230","10,49,19,99,169.40","1,56,023","48,76,895","73.87"
"RELIANCE","EQ","05-Jan-2026","1,592.30","1,593.00","1,611.80","1,575.30","1,577.00","1,578.10","1,589.36","87,04,973","13,83,53,33,400.10","2,27,204","58,29,320","66.97"
"RELIANCE","EQ","06-Jan-2026","1,578.10","1,569.00","1,569.00","1,496.30","1,508.90","1,507.60","1,516.17","2,74,17,125","41,56,90,80,602.20","5,83,917","1,38,27,457","50.43"
"RELIANCE","EQ","07-Jan-2026","1,507.60","1,510.00","1,520.00","1,498.00","1,505.10","1,504.20","1,506.81","1,11,99,340","16,87,52,53,099.50","3,02,077","67,18,330","59.99"
"RELIANCE","EQ","08-Jan-2026","1,504.20","1,500.00","1,503.90","1,468.80","1,470.70","1,470.60","1,477.72","1,65,18,684","24,41,00,37,550.10","4,43,727","1,15,41,052","69.87"
"RELIANCE","EQ","09-Jan-2026","1,470.60","1,465.00","1,479.90","1,465.00","1,476.00","1,475.30","1,472.13","83,35,311","12,27,06,72,520.90","2,37,412","46,78,450","56.13"
"RELIANCE","EQ","12-Jan-2026","1,475.30","1,475.30","1,485.30","1,451.00","1,484.00","1,483.20","1,469.79","88,83,745","13,05,72,59,395.40","2,36,827","48,84,119","54.98"
"RELIANCE","EQ","13-Jan-2026","1,483.20","1,485.00","1,485.80","1,444.70","1,456.90","1,452.80","1,457.67","1,34,99,760","19,67,81,31,155.40","2,89,198","59,01,025","43.71"
"RELIANCE","EQ","14-Jan-2026","1,452.80","1,444.00","1,467.00","1,440.20","1,458.80","1,458.80","1,458.22","83,21,764","12,13,49,50,551.20","1,67,816","38,93,699","46.79"
"RELIANCE","EQ","16-Jan-2026","1,458.80","1,458.80","1,480.00","1,455.10","1,461.00","1,457.90","1,464.15","1,71,67,161","25,13,52,47,618.00","2,89,037","1,11,51,787","64.96"
"RELIANCE","EQ","19-Jan-2026","1,457.90","1,450.60","1,450.60","1,403.30","1,413.20","1,413.60","1,415.36","2,03,92,765","28,86,31,28,634.10","5,69,720","1,08,47,268","53.19"
"RELIANCE","EQ","20-Jan-2026","1,413.60","1,410.70","1,416.00","1,390.00","1,392.40","1,394.00","1,401.05","1,31,89,498","18,47,91,64,578.50","3,82,470","66,01,674","50.05"
"RELIANCE","EQ","21-Jan-2026","1,394.00","1,389.50","1,412.90","1,373.00","1,407.50","1,404.60","1,399.14","1,73,52,720","24,27,89,65,746.30","4,12,452","84,16,217","48.50"
"RELIANCE","EQ","22-Jan-2026","1,404.60","1,410.10","1,419.50","1,395.00","1,404.10","1,402.50","1,403.80","1,57,21,693","22,07,01,50,220.10","3,91,641","70,29,268","44.71"
"RELIANCE","EQ","23-Jan-2026","1,402.50","1,401.80","1,407.00","1,381.00","1,387.00","1,386.10","1,391.32","98,37,802","13,68,75,60,136.70","2,63,283","50,41,469","51.25"